1,2025-01-02,Facebook,4497.00
2,2025-01-03,LinkedIn,4497.00
3,2025-01-04,Google,3006.00
4,2025-01-05,YouTube,3542.00
5,2025-01-06,Facebook,626.00
6,2025-01-07,Google,5282.00
7,2025-01-08,LinkedIn,2504.00
8,2025-01-09,LinkedIn,3878.00
9,2025-01-10,LinkedIn,3347.00
10,2025-01-11,Facebook,980.00
11,2025-01-12,LinkedIn,1003.00
12,2025-01-13,Facebook,1598.00
13,2025-01-14,LinkedIn,2991.00
14,2025-01-15,LinkedIn,4893.00
15,2025-01-16,LinkedIn,4679.00
16,2025-01-17,YouTube,1665.00
17,2025-01-18,LinkedIn,4395.00
18,2025-01-19,Google,2221.00
19,2025-01-20,Google,4067.00
20,2025-01-21,Google,4806.00
21,2025-01-22,LinkedIn,4074.00
22,2025-01-23,YouTube,2866.00
23,2025-01-24,YouTube,4055.00
24,2025-01-25,Facebook,4133.00
25,2025-01-26,LinkedIn,4753.00
26,2025-01-27,Google,915.00
27,2025-01-28,YouTube,1941.00
28,2025-01-29,LinkedIn,842.00
29,2025-01-30,LinkedIn,2564.00
30,2025-01-31,YouTube,4362.00
31,2025-02-01,LinkedIn,5043.00
32,2025-02-02,LinkedIn,5035.00
33,2025-02-03,Google,4966.00
34,2025-02-04,LinkedIn,3504.00
35,2025-02-05,LinkedIn,2366.00
36,2025-02-06,LinkedIn,4042.00
37,2025-02-07,Facebook,2086.00
38,2025-02-08,YouTube,778.00
39,2025-02-09,YouTube,4295.00
40,2025-02-10,YouTube,5196.00
41,2025-02-11,LinkedIn,3106.00
42,2025-02-12,Google,1379.00
43,2025-02-13,LinkedIn,1569.00
44,2025-02-14,LinkedIn,948.00
45,2025-02-15,LinkedIn,4502.00
46,2025-02-16,LinkedIn,5115.00
47,2025-02-17,LinkedIn,2198.00
48,2025-02-18,Google,4119.00
49,2025-02-19,Google,3269.00
50,2025-02-20,LinkedIn,4383.00
51,2025-02-21,Google,4975.00
52,2025-02-22,YouTube,1635.00
53,2025-02-23,LinkedIn,4430.00
54,2025-02-24,Google,865.00
